subnum,nowtrial,imageno,exposure,charalength,TargetPosi,charakey,charares,TorF1,maskwidth,colorcond,colorres,TorF2,totaltime,RSVPtime,mojitime,mojiRT,colorRT,gray_gray,gray_mix,gray_color,mix_gray,mix_mix,mix_color,color_gray,color_mix,color_color
44,37,232,7,21,7,76,76,1,1.00E-02,0,0,1,4.16E+00,3.13E+00,1.49E-01,6.04E-01,3.51E-01,1,0,0,0,0,0,0,0,0
44,38,266,7,25,11,1000,1000,1000,3.00E+02,2,2,1,3.16E+00,2.13E+00,8.53E-02,1.00E+03,1.40E-01,0,0,0,0,0,0,0,0,1
44,39,338,5,25,11,65,65,1,2.50E+01,1,1,1,3.45E+00,2.42E+00,9.67E-02,8.58E-01,2.41E-01,0,0,0,0,1,0,0,0,0
44,40,557,9,22,8,71,71,1,3.00E+02,2,2,1,4.85E+00,3.82E+00,1.73E-01,1.39E+00,2.60E-01,0,0,0,0,0,0,0,0,1
44,41,240,9,23,9,1000,1000,1000,2.50E+01,1,2,0,3.73E+00,2.70E+00,1.17E-01,1.00E+03,3.98E-01,0,0,0,0,0,1,0,0,0
44,42,227,9,22,8,89,89,1,9.00E+00,1,1,1,4.94E+00,3.92E+00,1.78E-01,4.84E-01,1.08E-01,0,0,0,0,1,0,0,0,0
44,43,487,7,24,10,88,88,1,3.00E+02,2,1,0,4.49E+00,3.47E+00,1.44E-01,5.59E-01,8.40E-02,0,0,0,0,0,0,0,1,0
44,44,503,7,22,8,89,89,1,1.30E+01,1,1,1,4.12E+00,3.10E+00,1.41E-01,5.51E-01,6.20E-01,0,0,0,0,1,0,0,0,0
44,45,462,5,23,9,86,86,1,9.00E+00,1,0,0,3.52E+00,2.50E+00,1.09E-01,8.64E-01,4.72E-01,0,0,0,1,0,0,0,0,0
44,46,560,5,25,11,81,71,0,3.00E+02,2,0,0,3.55E+00,2.52E+00,1.01E-01,4.63E+00,1.04E+00,0,0,0,0,0,0,1,0,0
44,47,428,9,25,11,73,73,1,9.00E+00,1,1,1,5.28E+00,4.25E+00,1.70E-01,5.31E-01,1.53E-01,0,0,0,0,1,0,0,0,0
44,48,509,9,22,8,81,81,1,1.00E-02,0,1,0,4.88E+00,3.85E+00,1.75E-01,1.08E+00,2.18E-01,0,1,0,0,0,0,0,0,0
44,49,545,7,22,8,1000,1000,1000,9.00E+00,1,1,1,2.92E+00,1.88E+00,8.56E-02,1.00E+03,2.29E-01,0,0,0,0,1,0,0,0,0
44,50,274,5,21,7,67,67,1,1.30E+01,1,1,1,3.22E+00,2.18E+00,1.04E-01,9.33E-01,9.04E-02,0,0,0,0,1,0,0,0,0
44,51,407,7,22,8,67,67,1,2.10E+01,1,1,1,4.26E+00,3.23E+00,1.47E-01,4.23E-01,1.93E-01,0,0,0,0,1,0,0,0,0
44,52,345,9,20,6,1000,1000,1000,1.00E-02,0,0,1,3.36E+00,2.33E+00,1.17E-01,1.00E+03,2.55E-01,1,0,0,0,0,0,0,0,0
44,53,273,7,20,6,66,66,1,1.70E+01,1,1,1,3.98E+00,2.95E+00,1.47E-01,5.11E-01,1.82E-01,0,0,0,0,1,0,0,0,0
44,54,342,7,23,9,84,84,1,3.00E+02,2,1,0,4.41E+00,3.38E+00,1.47E-01,7.61E-01,4.69E-01,0,0,0,0,0,0,0,1,0
44,55,440,9,25,11,82,82,1,3.00E+02,2,2,1,5.41E+00,4.38E+00,1.75E-01,3.24E-01,9.78E-02,0,0,0,0,0,0,0,0,1
44,56,234,7,23,9,69,69,1,3.00E+02,2,1,0,4.35E+00,3.32E+00,1.44E-01,4.45E-01,7.03E-02,0,0,0,0,0,0,0,1,0
44,57,339,5,20,6,85,85,1,3.00E+02,2,2,1,3.27E+00,2.25E+00,1.12E-01,5.21E-01,4.86E-02,0,0,0,0,0,0,0,0,1
44,58,411,5,20,6,84,84,1,2.50E+01,1,1,1,3.22E+00,2.20E+00,1.10E-01,6.94E-01,2.21E-03,0,0,0,0,1,0,0,0,0
44,59,295,5,24,10,85,85,1,3.00E+02,2,2,1,3.40E+00,2.38E+00,9.93E-02,4.88E-01,6.12E-02,0,0,0,0,0,0,0,0,1
44,60,518,9,25,11,75,75,1,2.50E+01,1,1,1,5.28E+00,4.25E+00,1.70E-01,3.88E-01,2.07E-01,0,0,0,0,1,0,0,0,0
44,61,202,9,21,7,72,72,1,2.10E+01,1,1,1,4.80E+00,3.77E+00,1.79E-01,3.40E-01,1.62E-01,0,0,0,0,1,0,0,0,0
44,62,467,5,22,8,1000,1000,1000,3.00E+02,2,1,0,2.17E+00,1.15E+00,5.23E-02,1.00E+03,2.06E-01,0,0,0,0,0,0,0,1,0
44,63,493,7,24,10,79,79,1,3.00E+02,2,1,0,4.38E+00,3.35E+00,1.40E-01,3.07E-01,5.02E-02,0,0,0,0,0,0,0,1,0
44,64,341,7,22,8,85,85,1,1.70E+01,1,1,1,4.32E+00,3.30E+00,1.50E-01,3.35E-01,1.08E-01,0,0,0,0,1,0,0,0,0
44,65,472,5,21,7,79,81,0,1.00E-02,0,0,1,3.22E+00,2.20E+00,1.05E-01,9.95E-01,1.51E-01,1,0,0,0,0,0,0,0,0
44,66,303,5,20,6,1000,1000,1000,1.30E+01,1,1,1,2.08E+00,1.05E+00,5.25E-02,1.00E+03,3.27E-01,0,0,0,0,1,0,0,0,0
44,67,298,5,21,7,1000,1000,1000,1.00E-02,0,0,1,2.13E+00,1.10E+00,5.24E-02,1.00E+03,8.62E-04,1,0,0,0,0,0,0,0,0
44,68,426,5,23,9,1000,1000,1000,3.00E+02,2,2,1,2.23E+00,1.20E+00,5.22E-02,1.00E+03,1.95E-01,0,0,0,0,0,0,0,0,1
